title,author,publisher,year,pages,tags,description
36.4℃,"배창환, 조재도",작은숲,2012,260,"문학, 200~300쪽, 시",1980년대 중반부터 2000년대까지 30여년 동안 교실에서 학생들이 쓴 시 중에서 학생들이 뽑은 시 모음집. 학생들의 시선으로 바라본 세상의 모습이 잘 담겨 있다.
42가지 마음의 색깔,"크리스티나 누녜스 페레이라, 라파엘 R. 발카르셀",레드스톤,2015,96,"기타, 200쪽 이하, 교양","교구로 많이 활용되는 감정 카드를 그림책으로 만든다면 이 책이지 않을까. 42가지 감정의 정체를 아주 쉽고 단순하지만 사전적 정의보다 훨씬 울림있고 정확하게 풀어냄. 읽으면서 내가 느끼는 감정을 인식하고, 그 감정에 대해 고민하고 이야기해볼 수 있는 계기를 줄 수 있는 책."
42가지 마음의 색깔 2,크리스티나 누녜스 페레이라 & 라파엘 R. 발카르셀,레드스톤,2015,96,"기타, 200쪽 이하, 교양",사랑의 색깔편이라는 부제처럼 사랑을 느낄 수 있는 단어와 설명을 기분 좋은 삽화와 함께 그려냈다.
50일간의 썸머,유니게,특별한 서재,2021,176,"문학, 200쪽 이하, 소설","인공지능 로봇과의 인간의 소통을 다룬 이야기, 관계에 실패와 상처를 가진 주인공들에게 나만의 친구가 되어주는 썸머, 과연 진정한 우정은 무엇일까? 갈등없이 나를 온전히 받아주는 관계가 과연 이상적인 걸까? 생각하게 된다."
5번 레인,은소홀,문학동네,2020,240,"문학, 200~300쪽, 소설","수영을 사랑하는 나루는 초등학교 5학년 때 초희에게 1등을 놓친 뒤로 더욱 열심히, 부지런히 연습을 한다. 초희를 이기고 싶은 욕심에 합동연습에서 얼결에 초희의 수영복을 숨긴 후, 본선 대회가 다가올수록 나루 마음은 초조해지는데. 당당하게 지는 법을 배우는 싱그러운 13살 수영 꿈나무들의 이야기."
"5월 18일, 맑음",임광호 외,창비,2019,256,"인문사회, 200~300쪽, 시",5.18 민주항쟁을 어떻게 설명하면 좋을까? 고민하는 교사와 5.18이 궁금한 청소년들에게 반가운 책이다. 1980년 당시 광주에서 어떤 일이 있었는지를 객관적인 자료를 제시하면서 알기 쉽게 설명한다.
7년 동안의 잠,박완서,어린이작가정신,2015,40,"과학, 200쪽 이하, 교양",흉년에 시달리던 개미가 찾아온 먹이는 매미 번데기였다. 먹이를 찾기 힘들고 매미가 되어 날아가기도 힘든 건 뒤덮인 도로 때문이라는 통찰을 가진 나이 많은 개미를 따라 부드러운 땅으로 번데기를 옮겨 주고 번데기는 매미가 되어 날아간다. 개미들은 배고프지만 매미를 축복한다.
82년생 김지영,조남주,민음사,2016,192,"문학, 200쪽 이하, 소설",34살 김지영 씨가 갑자기 이상 증세를 보인다. 그녀의 정신 상담 내용(인생 궤적)을 재구성해 기록한 리포트 형식의 소설로 대한민국에서 여성을 어떻게 대해 왔는지에 대해 생생하게 보여준다. 책을 읽으면 여성을 이해하고 포용하게 된다.
82년생 김지영,조남주,민음사,2016,192,"문학, 200쪽 이하, 소설",34살 김지영 씨가 갑자기 이상 증세를 보인다. 그녀의 정신 상담 내용(인생 궤적)을 재구성해 기록한 리포트 형식의 소설로 대한민국에서 여성을 어떻게 대해 왔는지에 대해 생생하게 보여준다. 책을 읽으면 여성을 이해하고 포용하게 된다.
90일 밤의 우주,"김명진, 김상혁 외",동양북스,2023,498,"과학, 300쪽 이상, 교양",한국천문연구원 천문학자들이 풀어내는 우주의 신비 이야기. 이 책을 읽기 전과 후의 밤하늘은 각각 달라보일 것이다.
99%를 위한 경제학,김재수,생각의힘,2016,384,"인문사회, 300쪽 이상, 교양",경제학의 개념을 우리 주변의 사건과 연관 지어서 설명한 책
9번의 일,김혜진,한겨례,2019,260,"문학, 200~300쪽, 소설",통신회사 현장팀에서 일하던 '나'는 저성과자로 분류되어 원치 않는 부서 발령이 난다. 자신에게 익숙하지 않은 일을 계속 해나가면서 그저 '일'을 붙들고 싶었던 그는 나락으로 떨어진다.
9번의 일,김혜진,한겨레 출판,2019,260,"문학, 200~300쪽, 소설","자신의 일에 대해 자부심을 가졌고, 일 하지 않는 자신은 생각조차 할 수 없는 주인공은, 권고사직을 거부하면서 다른 업무, 지방 등으로 점차 밀려나다 마침내 타인의 삶의 자리까지 위협하는 일을 하게 된다.인간에게 일이란 무엇인지 그 의미를 묵직하게 묻는 소설이다."
A군의 인생 대미지 보고서,강석희 외,창비교육,2022,212,"문학, 200~300쪽, 소설","교실 안에서 일어나는 일 뿐만 아니라 사이버 폭력, 데이트 폭력까지 다양한 층위의 학교 폭력을 다룬 단편집."
"B끕 언어, 세상에 태클 걸다","권희린, 이주윤",우리학교,2018,272,"인문사회, 200~300쪽, 교양",학생들이 자주 쓰는 비속어에 대한 설명과 어원이 잘 드러난 책. 순화어도 함께 적혀 있어 학생들과 읽으면서 요즘 학생들이 쓰는 비속어나 밈에 대해 한 번 더 생각해 볼 수 있게 해준다.
